"","Location","Date","Time","Winner","Loser","Behaviour","Initiator","Comments","Preening","X"
"312","CG","08.07.22",759,"X11","PBG_H_CG","ap.st[st.bt]ho[voc.ha]","W","","",""
"313","CG","08.07.22",800,"PGP_H_CG","MPN_H_CG","","","","",""
"314","CG","08.07.22",802,"PBG_H_CG","GB_H_CG","","","","",""
"315","CG","08.07.22",803,"MPN_H_CG","GVP_H_CG","","","","",""
"316","CG","08.07.22",804,"X11","PGP_H_CG","","","","",""
"317","CG","08.07.22",805,"GVP_H_CG","NBO_V_BG","ho[voc.ha]","W","","",""
"318","CG","08.07.22",805,"GVP_H_CG","X78","","","","",""
"319","CG","08.07.22",806,"X11","PGV_H_CG","ap.bg[ha]","W","","",""
"320","CG","08.07.22",808,"GVP_H_CG","X5","","","","",""
"321","CG","08.07.22",808,"MPN_H_CG","VPG_H_CG","","","","",""
"322","CG","08.07.22",809,"GVP_H_CG","NBO_V_CG","ap.bi[voc.ha]","W","","",""
"323","CG","08.07.22",810,"GVP_H_CG","VPG_H_CG","","","","",""
"324","CG","08.07.22",812,"PGV_H_CG","BPG_H_CG","ap.fl.st[ig]ap.st[rt]st[ig.bc]bc","","unresolved","","005 joins, bc"
"325","CG","08.07.22",815,"PGP_H_CG","MPN_H_CG","ap.dis[rt]","W","","",""
"326","CG","08.07.22",816,"X78","PGP_H_CG","","","","",""
"327","CG","08.07.22",816,"PVB_H_CG","VPG_H_CG","","","","",""
