"","Location","Date","Time","Winner","Loser","Behaviour","Initiator","Comments","Preening","X","W_in_scans","L_in_scans"
"230","BG","09.07.22",1555,"GNV_V_BG","GPG_H_CG","ap.bg[rt]","W","","","",TRUE,TRUE
"231","BG","09.07.22",NA,"NGV_V_BG","BOGV_V_BG","","","","","",TRUE,TRUE
"232","BG","09.07.22",1558,"BGO_V_BG","GNV_V_BG","","","","","",TRUE,TRUE
"233","BG","09.07.22",1559,"BGO_V_BG","VGV_V_BG","","","","","",TRUE,TRUE
"234","BG","09.07.22",1600,"BGO_V_BG","VGO_V_BG","jo[onback.voc]fo[fo]","","both fly off because of ??","","",TRUE,TRUE
"235","BG","09.07.22",1601,"OVB_V_BG","GO_V_BG","","","","","",TRUE,TRUE
"236","BG","09.07.22",1601,"VNB_V_BG","GMO_V_BG","","","","","",TRUE,TRUE
"237","BG","09.07.22",1601,"BG_V_BG","GBV_V_BG","ap.rp","","","Y","",TRUE,TRUE
"238","BG","09.07.22",1601,"BGO_V_BG","BV_V_BG","tt.bg[ha]","","","","",TRUE,TRUE
"239","BG","09.07.22",1602,"BV_V_BG","OM_V_BG","","","","","",TRUE,TRUE
"240","BG","09.07.22",1602,"BGO_V_BG","BV_V_BG","jo[voc.ha]","W","","","",TRUE,TRUE
"241","BG","09.07.22",1603,"GMV_V_BG","NVG_V_BG","","","","","",TRUE,TRUE
"243","BG","09.07.22",1605,"GVB_V_BG","OVM_V_BG","","","","","",TRUE,TRUE
"244","BG","09.07.22",1605,"BG_V_BG","NGM_V_BG","","","","","",TRUE,TRUE
"245","BG","09.07.22",1605,"BG_V_BG","BOM_V_BG","","","","","",TRUE,TRUE
"246","BG","09.07.22",1609,"NBG_V_BG","BG_V_BG","biwing[voc.ha]","","","","",TRUE,TRUE
"247","BG","09.07.22",1609,"NBG_V_BG","BMB_V_BG","","","","","",TRUE,TRUE
"254","BG","08.07.22",1504,"MVO_V_BG","GVN_V_BG","","","","","",TRUE,TRUE
"255","BG","08.07.22",1506,"BGM_V_BG","NOG_V_BG","","","","","",TRUE,TRUE
"256","BG","08.07.22",1508,"NOG_V_BG","MB_V_BG","","","","","",TRUE,TRUE
"257","BG","08.07.22",1510,"OBMO_V_BG","VOB_V_BG","","","","","",TRUE,TRUE
"258","BG","08.07.22",1515,"NGV_V_BG","GMB_V_BG","","","","","",TRUE,TRUE
"259","BG","08.07.22",1517,"NGV_V_BG","MOB_V_BG","","","","","",TRUE,TRUE
"260","BG","08.07.22",1517,"NGV_V_BG","BVB_V_BG","","","","","",TRUE,TRUE
"261","BG","08.07.22",1517,"MOB_V_BG","OGV_V_BG","","","","","",TRUE,TRUE
"262","BG","08.07.22",1518,"VMV_V_BG","VPM_H_CG","","","","","",TRUE,TRUE
"263","BG","08.07.22",1518,"BNG_V_BG","BGV_V_BG","","","","","",TRUE,TRUE
"264","BG","08.07.22",1519,"VBV_V_BG","MOG_V_BG","","","","","",TRUE,TRUE
"265","BG","08.07.22",1519,"VMV_V_BG","BGN_V_BG","","","","","",TRUE,TRUE
"266","BG","08.07.22",1519,"BNG_V_BG","VBV_V_BG","","","","","",TRUE,TRUE
"267","BG","08.07.22",1520,"BNG_V_BG","NOG_V_BG","","","","","",TRUE,TRUE
"268","BG","08.07.22",1520,"NPV_H_CG","OMV_V_BG","","","","","",TRUE,TRUE
